r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
103.5 0.035114 0.04089 0.046471 0.051864 0.057077 6.8278 6.7693 6.7067 6.641 6.5731
104 0.034953 0.040703 0.046258 0.051626 0.056815 6.6595 6.6041 6.5445 6.4817 6.4165
104.5 0.034795 0.040518 0.046048 0.051392 0.056558 6.4938 6.4414 6.3847 6.3248 6.2623
105 0.034639 0.040337 0.045842 0.051162 0.056304 6.3306 6.2812 6.2274 6.1702 6.1105
105.5 0.034486 0.040158 0.045639 0.050936 0.056055 6.17 6.1234 6.0724 6.018 5.9608
106 0.034335 0.039983 0.04544 0.050714 0.055811 6.0118 5.9681 5.9199 5.8681 5.8135
106.5 0.034187 0.039811 0.045244 0.050495 0.05557 5.8561 5.8152 5.7696 5.7204 5.6684
107 0.034042 0.039642 0.045052 0.05028 0.055334 5.703 5.6647 5.6218 5.5751 5.5255
107.5 0.033899 0.039475 0.044863 0.05007 0.055102 5.5522 5.5166 5.4762 5.4321 5.3849
108 0.033759 0.039312 0.044677 0.049863 0.054874 5.404 5.3709 5.333 5.2912 5.2464
108.5 0.033621 0.039152 0.044495 0.049659 0.05465 5.2581 5.2276 5.1921 5.1527 5.1101
109 0.033486 0.038994 0.044317 0.04946 0.054431 5.1146 5.0865 5.0534 5.0163 4.976
109.5 0.033354 0.03884 0.044141 0.049264 0.054215 4.9736 4.9478 4.917 4.8821 4.844
110 0.033223 0.038689 0.043969 0.049072 0.054004 4.8349 4.8114 4.7828 4.7501 4.7141
110.5 0.033096 0.03854 0.0438 0.048884 0.053797 4.6985 4.6773 4.6509 4.6203 4.5864
111 0.032971 0.038395 0.043635 0.048699 0.053593 4.5645 4.5455 4.5211 4.4926 4.4607
111.5 0.032848 0.038252 0.043473 0.048518 0.053394 4.4328 4.4158 4.3936 4.367 4.337
112 0.032728 0.038112 0.043314 0.048341 0.053199 4.3034 4.2884 4.2681 4.2435 4.2154
112.5 0.032611 0.037975 0.043158 0.048167 0.053008 4.1763 4.1632 4.1448 4.1221 4.0958
113 0.032496 0.037841 0.043006 0.047997 0.052821 4.0514 4.0402 4.0237 4.0027 3.9782
113.5 0.032383 0.03771 0.042857 0.047831 0.052638 3.9287 3.9193 3.9046 3.8854 3.8626
114 0.032273 0.037582 0.042711 0.047668 0.052459 3.8082 3.8006 3.7875 3.77 3.7489
114.5 0.032165 0.037457 0.042569 0.047509 0.052284 3.6899 3.684 3.6725 3.6567 3.6372
115 0.03206 0.037334 0.042429 0.047354 0.052113 3.5738 3.5694 3.5596 3.5453 3.5273
115.5 0.031957 0.037214 0.042293 0.047202 0.051946 3.4598 3.4569 3.4486 3.4358 3.4194
116 0.031857 0.037097 0.04216 0.047053 0.051783 3.3479 3.3465 3.3396 3.3283 3.3132
116.5 0.031759 0.036983 0.042031 0.046909 0.051623 3.238 3.238 3.2325 3.2226 3.2089
117 0.031663 0.036872 0.041904 0.046767 0.051468 3.1303 3.1316 3.1274 3.1187 3.1064
117.5 0.03157 0.036763 0.041781 0.04663 0.051316 3.0245 3.0271 3.0241 3.0168 3.0057
118 0.031479 0.036658 0.041661 0.046496 0.051169 2.9208 2.9245 2.9227 2.9166 2.9067
