r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
78.5 0.021867 0.026847 0.032083 0.037287 0.042375 51.449 48.324 44.907 41.752 38.952
79 0.021578 0.02651 0.031701 0.03686 0.041905 51.342 48.204 44.775 41.611 38.804
79.5 0.021293 0.026179 0.031325 0.03644 0.041443 51.236 48.085 44.644 41.471 38.657
80 0.021013 0.025853 0.030955 0.036028 0.040989 51.13 47.966 44.514 41.331 38.511
80.5 0.020737 0.025532 0.030591 0.035622 0.040542 51.024 47.848 44.384 41.192 38.365
81 0.020467 0.025217 0.030233 0.035222 0.040102 50.918 47.73 44.255 41.054 38.221
81.5 0.020201 0.024907 0.029881 0.03483 0.039669 50.813 47.612 44.127 40.917 38.077
82 0.019939 0.024603 0.029535 0.034443 0.039244 50.708 47.495 43.998 40.78 37.934
82.5 0.019682 0.024303 0.029195 0.034064 0.038825 50.603 47.379 43.871 40.644 37.791
83 0.019429 0.024009 0.02886 0.03369 0.038413 50.498 47.262 43.744 40.509 37.65
83.5 0.01918 0.02372 0.028531 0.033323 0.038009 50.393 47.147 43.618 40.375 37.509
84 0.018936 0.023435 0.028208 0.032961 0.03761 50.289 47.031 43.492 40.241 37.369
84.5 0.018696 0.023156 0.02789 0.032606 0.037219 50.185 46.916 43.367 40.107 37.23
85 0.018461 0.022881 0.027578 0.032257 0.036834 50.08 46.801 43.242 39.975 37.092
85.5 0.018229 0.022611 0.027271 0.031914 0.036456 49.976 46.686 43.117 39.843 36.954
86 0.018002 0.022346 0.026969 0.031577 0.036084 49.873 46.572 42.994 39.712 36.817
86.5 0.017778 0.022085 0.026672 0.031245 0.035718 49.769 46.458 42.87 39.581 36.681
87 0.017559 0.021829 0.026381 0.030919 0.035358 49.666 46.345 42.747 39.451 36.546
87.5 0.017343 0.021577 0.026094 0.030599 0.035005 49.562 46.231 42.625 39.321 36.411
88 0.017132 0.02133 0.025813 0.030284 0.034658 49.459 46.118 42.503 39.192 36.277
88.5 0.016924 0.021088 0.025536 0.029975 0.034316 49.356 46.006 42.381 39.064 36.143
89 0.016719 0.020849 0.025265 0.029671 0.033981 49.253 45.893 42.26 38.936 36.01
89.5 0.016519 0.020615 0.024998 0.029372 0.033651 49.15 45.781 42.14 38.809 35.878
90 0.016322 0.020385 0.024736 0.029079 0.033328 49.047 45.669 42.02 38.682 35.747
90.5 0.016129 0.02016 0.024479 0.028791 0.033009 48.944 45.558 41.9 38.556 35.616
91 0.01594 0.019938 0.024227 0.028508 0.032697 48.842 45.446 41.781 38.431 35.486
91.5 0.015754 0.019721 0.023979 0.028231 0.03239 48.739 45.335 41.662 38.306 35.357
92 0.015572 0.019508 0.023735 0.027958 0.032089 48.636 45.225 41.543 38.181 35.228
