r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
100.5 0.0044642 0.00521 0.0059348 0.0066395 0.0073248 1.3196 1.2025 1.0947 0.99557 0.90442
101 0.0044156 0.0051533 0.0058702 0.0065672 0.0072451 1.2621 1.1496 1.0461 0.95092 0.86353
101.5 0.0043676 0.0050973 0.0058064 0.0064958 0.0071663 1.2066 1.0986 0.99921 0.90797 0.82424
102 0.0043202 0.0050419 0.0057433 0.0064252 0.0070884 1.1532 1.0494 0.95413 0.86668 0.78649
102.5 0.0042733 0.0049872 0.005681 0.0063555 0.0070114 1.1017 1.0021 0.91078 0.82701 0.75024
103 0.0042269 0.0049331 0.0056193 0.0062865 0.0069354 1.0521 0.95666 0.86911 0.7889 0.71545
103.5 0.0041811 0.0048796 0.0055584 0.0062184 0.0068602 1.0044 0.91293 0.82908 0.75231 0.68206
104 0.0041358 0.0048268 0.0054983 0.0061511 0.006786 0.95857 0.8709 0.79064 0.7172 0.65005
104.5 0.0040911 0.0047746 0.0054388 0.0060846 0.0067126 0.91448 0.83053 0.75373 0.68352 0.61936
105 0.0040469 0.004723 0.00538 0.0060188 0.00664 0.87212 0.79178 0.71833 0.65123 0.58995
105.5 0.0040032 0.004672 0.0053219 0.0059538 0.0065683 0.83144 0.75458 0.68437 0.62028 0.56178
106 0.00396 0.0046216 0.0052645 0.0058896 0.0064975 0.79239 0.7189 0.65183 0.59063 0.53481
106.5 0.0039173 0.0045718 0.0052078 0.0058261 0.0064274 0.75492 0.6847 0.62064 0.56224 0.509
107 0.0038751 0.0045225 0.0051517 0.0057633 0.0063582 0.71898 0.65191 0.59078 0.53507 0.48431
107.5 0.0038334 0.0044738 0.0050962 0.0057013 0.0062898 0.68454 0.62051 0.56219 0.50907 0.4607
108 0.0037922 0.0044257 0.0050414 0.00564 0.0062221 0.65155 0.59045 0.53483 0.4842 0.43813
108.5 0.0037515 0.0043782 0.0049873 0.0055794 0.0061553 0.61995 0.56168 0.50866 0.46043 0.41656
109 0.0037112 0.0043312 0.0049337 0.0055195 0.0060892 0.5897 0.53415 0.48364 0.43772 0.39596
109.5 0.0036714 0.0042847 0.0048808 0.0054603 0.0060239 0.56076 0.50783 0.45973 0.41602 0.3763
110 0.003632 0.0042388 0.0048285 0.0054018 0.0059594 0.53309 0.48268 0.43689 0.39531 0.35752
110.5 0.0035931 0.0041934 0.0047768 0.005344 0.0058955 0.50663 0.45865 0.41508 0.37553 0.33961
111 0.0035547 0.0041486 0.0047257 0.0052868 0.0058325 0.48136 0.4357 0.39427 0.35667 0.32253
111.5 0.0035167 0.0041042 0.0046752 0.0052303 0.0057701 0.45722 0.41379 0.3744 0.33867 0.30624
112 0.0034791 0.0040604 0.0046252 0.0051744 0.0057085 0.43417 0.39289 0.35546 0.32151 0.29072
112.5 0.003442 0.004017 0.0045759 0.0051192 0.0056475 0.41218 0.37295 0.33739 0.30516 0.27593
113 0.0034053 0.0039742 0.004527 0.0050646 0.0055873 0.39121 0.35394 0.32018 0.28958 0.26184
113.5 0.003369 0.0039318 0.0044788 0.0050106 0.0055277 0.37121 0.33582 0.30377 0.27474 0.24842
114 0.0033331 0.0038899 0.0044311 0.0049572 0.0054689 0.35214 0.31856 0.28815 0.26061 0.23565
114.5 0.0032976 0.0038485 0.0043839 0.0049045 0.0054107 0.33398 0.30212 0.27328 0.24716 0.22349
115 0.0032626 0.0038076 0.0043373 0.0048523 0.0053531 0.31669 0.28647 0.25912 0.23436 0.21193
115.5 0.0032279 0.0037672 0.0042912 0.0048007 0.0052963 0.30022 0.27157 0.24565 0.22219 0.20093
116 0.0031936 0.0037272 0.0042457 0.0047498 0.00524 0.28455 0.2574 0.23284 0.21061 0.19047
